Bus;Name;Status;Nominal MW;MW;Nominal Mvar;Mvar
BCO115;BCO5-D1;1;0;0;-25;-26,6163
EKB411;EKB-D1;1;0;0;-50;-52,7752
EKB411;EKB-D2;1;0;0;-50;-52,7752
EKB411;EKB-D3;1;0;0;-50;-52,7752
FDB111;FDB1-D1;1;0;0;-50;-54,2049
NAR111;NAR-C1;0;0;0;50;0
NAR411;NAR-D1;1;0;0;-150;-158,272
OLM415;OLM-D1;1;0;0;-150;-158,243
OSK115;OSK-D1;0;0;0;-69;0
OSR414;OSR-DL;1;0;0;-100;-103,25
PLE214;PLE-C1;0;0;0;50;0
PLE214;PLE-C2;0;0;0;50;0
PLP415;PLP-DL1;1;0;0;-100;-105,19
RZE412;RZE-D2;1;0;0;-110;-113,883
SDU411;SDU-D1;1;0;0;-100;-106,748
SLK-DC;SLK-CT3;0;0;0;95;0
SLK-DC;SLK-CT2;1;0;0;95;96,7047
SLK-DC;SLK-CT1;1;0;0;95;96,7047
SLK-DC;SLK-D1;1;0;0;-117;-119,099
TAW413;TAW-D1;1;0;0;-100;-104,125
TEL115;TEL-C1;0;0;0;50;0
WLA115;WLA-C1;0;0;0;50;0
